City_ID,City,Lat,Max Temp,% Humidity,Cloudiness,Wind Speed
123,Srednekolymsk,67.45,-23.46,92,0,7.81
124,Trairi,-3.2778,82.58,71,100,9.31
125,Dossor,47.5272,31.71,59,100,23.51
126,Ranfurly,-45.1333,34.0,96,4,1.01
127,Vila Velha,-20.3297,86.0,54,0,16.11
128,Saint-Philippe,-21.3585,78.8,69,0,9.22
129,Norman Wells,65.282,-16.6,69,20,3.44
130,Anchorage,61.2181,21.99,79,90,0.2
131,Nago,26.5881,69.8,82,1,3.29
132,Saldanha,-33.0117,64.42,82,0,20.0
133,Butaritari,3.0707,81.14,77,100,14.36
134,Aquiraz,-3.9014,84.2,74,40,11.5
135,Douentza,14.9951,85.78,12,0,10.69
136,Tiksi,71.6872,-13.22,98,100,2.89
137,Skjervøy,70.0311,23.0,68,40,5.75
138,Ancud,-41.8697,62.6,48,0,16.11
139,Coyhaique,-45.5752,59.0,44,20,6.91
140,Kologriv,58.8275,32.9,97,100,5.14
141,Levanger,63.7464,37.4,70,75,11.5
142,Distrikt Brokopondo,4.75,84.25,62,91,5.37
143,Albany,42.6001,33.01,17,100,1.01
144,Nikolskoye,59.7035,32.0,93,75,2.24
145,Barinas,8.6226,96.8,38,99,3.44
146,Batagay-Alyta,67.8006,-22.67,76,80,3.58
147,Roald,62.5833,36.0,75,75,5.75
148,Sørland,67.667,33.8,75,0,3.44
149,Nemuro,43.3236,32.68,84,53,6.29
150,Chak Azam Sahu,30.75,69.39,37,0,4.92
151,Lithakia,37.7167,51.8,62,40,9.22
152,Fukuechō,32.6881,56.43,60,88,10.18
153,Hong Kong,22.2855,73.0,87,0,5.19
154,Cayenne,4.9333,86.0,58,40,11.5
155,Marondera,-18.1853,62.28,68,79,4.38
156,Quatre Cocos,-20.2078,80.6,74,40,10.36
157,Ribeira Grande,38.5167,62.6,94,75,14.97
158,Vereeniging,-26.6731,69.01,32,24,0.69
159,Lagos,6.5833,80.8,83,100,6.49
160,Dali,25.7,50.22,61,0,5.37
161,Saint-Louis,16.3333,100.4,12,0,2.3
162,Viedma,-40.8135,67.26,61,100,23.82
163,Vao,-22.6667,76.03,83,3,13.98
164,Kudahuvadhoo,2.6708,82.69,74,3,11.86
165,Gualaco,15.05,86.0,45,40,3.44
166,Horodyshche,49.2849,37.6,88,100,11.52
167,Krasnyy Chikoy,50.3643,7.57,95,48,2.15
168,Galle,6.0367,79.16,80,34,4.09
169,Bonavista,48.6499,28.99,80,100,8.05
170,Katsuura,35.1333,55.99,58,20,17.27
171,Prince Rupert,54.3161,41.0,87,100,13.8
172,Port Macquarie,-31.4333,66.2,100,75,4.61
173,Weiz,47.2167,39.99,63,2,5.93
174,Christchurch,-43.5333,50.0,87,100,2.3
175,Adré,13.4667,77.29,21,0,4.09
176,Saint George,37.1041,44.01,87,90,5.75
177,Tocache,-8.1842,72.55,98,100,1.1
178,Ndélé,8.4109,72.45,83,100,10.31
179,Natchez,31.5604,77.0,83,90,8.05
180,Cairns,-16.9167,73.4,94,40,4.38
181,Tuatapere,-46.1333,54.0,89,100,13.0
182,Cowra,-33.8333,53.01,92,100,4.0
183,Iqaluit,63.7506,-13.0,64,75,4.61
184,Los Llanos de Aridane,28.6585,66.2,68,75,14.97
185,Kysyl-Syr,63.8986,13.68,94,99,7.67
186,Touros,-5.1989,86.0,58,20,18.41
187,Nome,64.5011,5.0,92,1,0.74
188,Otradnoye,59.7775,32.0,93,75,2.24
189,Codrington,-38.2667,56.12,94,1,7.85
190,Liverpool,53.4106,48.2,87,7,10.36
191,Macusani,-14.0833,46.9,77,99,7.4
192,Aldan,58.6031,2.46,86,77,5.03
193,Pangnirtung,66.1451,-20.2,76,1,3.44
194,Athens,37.9795,55.0,50,20,4.61
195,Acajutla,13.5928,86.0,45,40,2.3
196,Meadow Lake,34.8014,61.0,13,20,20.71
197,Beberibe,-4.1797,84.2,74,40,11.5
198,Kruisfontein,-34.0033,64.99,81,44,1.01
199,Lincoln,40.8,45.0,81,90,5.75
200,Varėna,54.2167,39.2,70,0,8.05
201,Nichinan,31.6,64.4,94,90,5.75
202,Kahului,20.8947,71.6,83,75,6.91
203,Badarpur,24.9,69.06,43,0,2.95
204,Bubaque,11.2833,78.58,67,100,19.01
205,Lorengau,-2.0226,81.36,76,87,5.64
206,Badvel,14.75,74.84,62,0,4.85
207,Tarko-Sale,64.9225,17.82,95,100,9.15
208,Maturin,9.75,87.26,50,57,11.59
209,Usogorsk,63.4106,32.09,97,100,6.15
210,Lebu,-37.6167,60.35,72,100,13.69
211,Kloulklubed,7.0419,80.6,83,75,8.05
212,Caibarién,22.5206,86.0,45,20,9.22
213,Alofi,-19.0595,71.6,100,100,10.8
214,Dingle,10.9995,76.51,88,76,3.83
215,Linhares,-19.3911,84.2,57,91,6.53
216,São Filipe,14.8961,72.93,73,0,11.14
217,Vardø,70.3705,15.8,86,75,24.16
218,Matara,5.9485,76.19,87,60,5.21
219,San Cristobal,7.7669,78.8,83,75,2.3
220,Nhulunbuy,-12.2333,77.0,94,99,3.0
221,Hudson Bay,52.85,29.68,49,99,1.03
222,Dhidhdhoo,6.8833,83.48,66,0,4.88
223,Avera,33.194,51.8,75,90,5.75
224,Viytivka,48.426,42.48,86,100,11.03
225,Moose Factory,51.2585,44.6,36,1,12.66
226,Narsaq,60.9167,39.2,41,75,24.16
227,De-Kastri,51.4667,17.08,82,100,10.74
228,Saint-Augustin,51.226,20.48,80,100,10.45
229,Chitral,35.8462,44.22,86,100,2.71
230,Barbate,36.1924,64.4,59,0,29.93
231,Acapulco de Juárez,16.8634,84.2,65,20,5.75
232,Poum,-20.2333,77.92,77,21,6.53
233,Caravelas,-17.7125,82.36,65,92,8.66
234,Río Gallegos,-51.6226,51.8,30,40,26.46
235,Goma,-1.6792,63.16,87,49,3.06
236,Shorkot,31.9099,70.39,37,0,5.57
237,Luwuk,-0.9516,77.59,85,63,2.13
238,Aras,42.5617,51.8,62,40,8.05
239,Moindou,-21.6924,68.0,100,0,4.61
240,Omsukchan,62.5333,-8.19,78,10,4.34
241,Atuona,-9.8,79.79,67,0,13.76
242,Warri,5.5167,80.83,79,100,5.95
243,Terney,45.0503,30.97,77,100,15.21
244,Mahébourg,-20.4081,80.6,74,40,10.36
245,Cabo San Lucas,22.8909,80.01,24,1,11.5
246,São Lourenço da Serra,-23.8525,82.4,54,20,12.66
247,Chu,43.5983,26.74,76,64,6.91
248,Kalmunai,7.4167,79.23,82,89,6.91
249,Campbell,38.9501,64.99,76,90,3.44
250,Meulaboh,4.1363,77.63,86,100,3.91
251,Massakory,12.996,89.47,9,59,10.33
252,Kolondiéba,11.0882,88.5,16,44,1.9
253,Jalu,29.0331,59.77,46,0,11.77
254,Anloga,5.7947,84.2,79,20,13.8
255,Cherskiy,68.75,-16.82,96,99,7.87
256,Ugoofaaru,5.6667,83.35,65,0,6.13
257,Grindavik,63.8424,44.6,100,90,13.8
258,Yozgat Province,39.5833,37.76,78,100,7.4
259,Taoudenni,22.6783,80.26,15,0,11.32
260,Savannakhet,16.566,81.52,46,15,4.94
261,Cidreira,-30.1811,79.14,80,100,15.7
262,Manokwari,-0.8667,78.42,77,96,5.93
263,Chokurdakh,70.6333,-27.96,88,0,8.7
264,Port Augusta,-32.5,64.0,94,0,5.75
